#{"t_start": 1633480443.85006, "env_id": null}
r,l,t 
1,8,21327.735079
0,8,21332.486081
0,8,21334.609117
1,8,21336.455079
1,8,21338.464103
0,7,21340.463116
0,7,21342.914113
1,8,21345.642079
1,7,21347.637079
1,8,21350.572104
0,7,21351.955079
1,8,21353.909079
0,7,21355.583079
0,8,21357.583081
0,7,21359.239116
0,7,21362.810116
1,8,21366.873079
1,7,21368.782081
0,8,21370.874079
0,8,21373.187082
1,8,21375.338116
1,7,21377.508116
1,8,21380.015082
0,7,21381.724082
1,7,21383.360116
1,7,21385.416081
1,7,21388.062116
1,7,21391.762079
0,7,21393.627117
1,7,21396.216081
1,7,21398.832116
0,7,21403.130116
0,7,21406.560111
1,7,21409.262082
1,7,21411.457117
1,7,21414.368082
0,7,21416.752082
0,7,21419.533081
1,7,21421.578079
0,7,21423.531116
0,7,21426.696116
0,7,21428.362103
1,7,21430.526079
1,7,21433.652081
1,7,21436.904119
1,7,21440.769081
0,7,21442.754079
1,7,21445.223116
0,7,21447.043115
0,7,21448.749082
1,7,21452.093079
0,7,21453.758115
0,7,21455.398117
1,7,21458.312117
1,7,21460.959081
1,7,21462.998081
0,7,21465.145081
0,7,21467.172082
0,7,21469.741079
0,7,21471.669103
0,7,21473.266079
0,7,21476.582116
1,7,21480.994079
1,7,21483.099116
1,7,21485.310079
1,7,21487.179115
0,7,21488.888082
0,7,21490.60709
1,7,21493.446115
0,7,21495.416079
1,7,21497.180079
0,7,21499.328115
1,7,21501.87208
0,7,21503.282079
1,7,21505.750105
0,7,21507.085117
0,7,21508.617079
1,7,21510.754081
0,7,21513.273116
1,7,21515.439081
0,7,21517.051079
1,7,21519.813079
0,7,21523.097116
0,7,21524.955113
0,8,21526.836079
1,7,21529.673081
0,7,21531.338081
1,7,21533.723082
0,7,21535.543079
0,7,21537.420079
0,7,21539.335082
0,7,21541.473116
1,7,21543.436082
0,7,21545.421116
1,8,21547.622116
1,7,21551.087116
0,7,21552.396079
0,7,21554.956079
1,7,21556.768082
1,7,21558.809082
0,8,21561.655082
1,7,21563.572116
1,7,21565.798079
1,7,21567.952079
0,7,21569.731081
0,8,21571.593117
0,8,21573.31008
0,8,21575.698081
1,7,21578.537082
1,8,21580.627117
1,7,21582.689079
1,7,21584.490082
0,8,21586.595079
0,8,21588.393079
0,7,21589.768112
1,7,21591.641079
0,7,21595.034081
1,7,21597.040116
0,8,21598.896118
0,8,21602.460079
0,7,21604.151079
0,8,21607.867116
0,8,21611.845079
1,7,21613.627116
0,8,21616.375082
1,7,21618.403118
0,8,21620.735116
1,7,21622.795082
0,7,21624.584081
0,7,21626.839079
1,7,21628.863081
1,7,21632.016083
1,8,21636.938103
0,7,21638.881081
0,7,21641.259079
0,7,21642.626114
0,7,21645.256116
0,7,21646.387117
1,7,21649.394116
0,7,21651.151079
0,7,21654.053079
1,7,21655.780082
0,7,21660.612082
1,7,21664.986082
1,7,21667.62108
0,8,21670.346079
0,8,21673.387079
0,7,21675.01508
0,7,21678.568079
0,7,21680.270079
1,8,21682.578082
0,7,21684.075079
0,7,21685.885117
1,7,21688.012113
1,7,21690.942079
1,7,21695.581079
1,8,21698.502112
0,7,21700.300081
0,7,21703.577081
0,8,21707.276082
1,7,21711.382082
0,7,21712.952082
1,7,21715.305079
1,7,21718.801079
1,8,21721.009079
0,7,21722.774116
0,7,21724.864079
0,7,21728.076079
1,7,21729.985117
1,7,21733.027081
0,7,21734.66608
1,7,21737.088081
0,8,21739.655082
0,7,21741.667082
1,7,21744.239082
0,8,21746.639081
1,8,21749.270117
0,7,21752.087079
0,8,21754.161117
0,7,21755.852079
0,7,21757.769079
0,8,21759.981082
0,7,21762.668079
1,8,21765.241079
0,8,21768.016079
1,7,21770.059079
1,7,21772.14308
0,7,21774.803082
1,7,21776.968079
0,8,21779.642081
1,7,21782.557079
0,8,21784.937079
1,7,21787.280116
0,8,21790.238118
1,8,21792.577079
0,8,21794.96108
1,8,21797.160081
1,7,21799.582082
0,8,21801.895115
1,8,21806.755079
0,7,21808.396118
0,10,21810.309079
1,10,21813.66208
0,8,21815.70208
1,9,21820.318079
0,8,21822.121079
0,8,21824.038116
1,9,21826.678079
0,9,21828.471116
0,9,21830.463079
1,8,21834.813082
1,9,21837.346079
0,11,21840.506082
0,8,21842.257082
1,9,21845.590079
0,11,21847.864116
0,11,21850.243114
0,8,21852.879115
0,9,21855.567082
0,8,21857.300082
0,9,21859.309115
0,9,21862.950079
0,9,21866.174079
0,8,21868.103079
0,10,21869.945081
0,9,21871.843081
0,10,21874.153116
0,8,21875.955079
0,9,21877.767116
0,9,21880.318082
0,10,21883.211116
0,9,21887.40808
0,8,21890.382117
0,9,21893.122116
0,8,21895.03108
0,8,21902.034115
1,8,21905.570079
0,9,21907.951116
0,12,21910.738081
0,9,21914.139079
0,9,21916.227079
0,9,21918.535079
0,9,21920.69708
1,11,21927.491081
1,9,21932.261082
1,10,21934.878081
1,9,21937.256079
0,11,21939.490079
0,9,21940.807116
0,10,21943.200079
0,10,21946.431082
0,10,21949.761079
0,10,21952.358082
0,10,21954.706082
0,8,21957.213082
1,8,21961.539082
0,8,21963.243115
0,9,21965.570082
0,11,21967.157116
1,10,21969.527115
0,9,21971.640079
1,8,21974.221081
0,10,21982.056082
1,8,21984.493082
0,11,21987.633109
0,8,21989.519116
0,8,21996.214082
0,8,21998.642079
0,7,22000.088116
1,8,22002.085117
1,8,22004.214116
0,7,22005.570117
0,8,22010.414082
1,7,22012.681079
0,8,22015.192079
0,7,22017.253079
1,7,22019.346114
0,8,22021.132114
0,8,22023.119115
1,8,22025.526115
1,8,22028.750079
0,7,22030.541116
0,7,22032.087115
0,8,22034.645079
0,7,22036.66308
0,7,22038.35411
1,7,22040.271079
0,7,22041.873114
0,8,22043.859081
0,7,22045.858117
0,8,22047.836104
0,7,22050.105081
0,8,22051.833117
0,7,22054.016117
1,9,22056.588079
0,8,22058.648115
0,7,22060.515117
1,7,22063.170082
0,8,22065.331079
0,7,22066.869079
0,8,22070.116079
1,8,22072.049118
0,7,22073.604079
1,8,22076.289116
0,7,22078.278116
0,8,22080.109116
1,7,22082.302116
0,7,22084.329117
0,7,22085.774111
0,8,22087.790115
1,7,22091.557081
0,7,22093.827079
1,7,22096.156115
0,7,22098.406082
0,8,22101.056117
1,8,22104.253115
0,7,22105.936082
0,7,22108.092082
0,8,22110.285081
1,7,22112.960082
0,8,22116.106081
0,8,22117.881104
1,7,22120.213082
0,7,22121.587116
1,8,22123.969081
1,8,22126.201082
1,8,22130.243079
1,7,22132.338081
1,7,22134.656079
1,7,22136.752081
1,7,22140.188116
0,8,22142.341115
0,7,22144.197115
0,8,22147.368117
0,8,22149.257079
0,8,22152.910082
0,8,22155.068115
0,8,22157.287081
1,8,22159.578082
1,8,22161.772083
0,7,22164.131116
0,7,22166.035079
0,8,22168.470115
1,8,22171.522079
1,8,22173.623079
1,8,22176.273079
1,7,22178.468081
0,8,22181.493079
1,8,22183.540082
0,8,22185.593082
1,8,22187.578082
0,8,22189.628082
0,8,22191.609116
0,8,22196.944079
0,7,22199.140079
1,7,22201.155082
0,8,22203.240082
0,8,22205.483117
0,7,22207.383116
0,7,22209.105081
0,8,22210.823081
1,8,22212.931079
1,8,22216.849081
0,7,22219.111115
1,8,22221.419079
1,7,22223.542082
0,7,22224.978079
1,7,22227.546081
1,7,22229.808081
1,7,22231.472082
0,7,22232.99908
0,7,22235.314103
0,7,22237.140081
1,7,22239.071079
1,7,22241.572079
1,7,22244.355079
0,7,22246.160082
0,8,22249.890082
1,7,22251.883081
0,7,22253.679079
1,7,22256.20208
1,7,22259.008079
1,7,22261.812116
0,7,22263.188082
1,7,22264.879116
0,7,22266.433081
1,7,22268.397117
0,7,22270.207079
1,7,22272.009116
0,7,22274.166117
1,7,22276.266116
1,7,22279.084116
1,7,22281.764082
1,8,22284.554104
0,7,22287.31608
1,7,22290.326113
0,7,22293.100116
1,8,22295.365118
1,7,22297.760115
1,7,22300.019079
0,7,22303.288079
0,7,22305.852082
0,7,22307.606116
0,8,22310.277082
1,7,22312.221114
0,7,22314.903114
1,7,22316.454116
0,7,22318.345082
0,8,22320.493082
0,7,22322.165082
0,7,22323.547079
0,8,22326.383081
0,7,22328.123116
0,7,22332.129081
0,7,22333.899115
1,7,22336.117116
0,7,22337.763115
1,8,22339.671079
1,7,22341.998116
1,7,22345.055079
1,7,22348.236082
0,7,22349.769113
1,7,22351.889082
0,8,22353.745116
0,8,22355.961082
0,7,22358.179082
1,8,22360.565079
0,8,22362.476081
0,8,22364.919114
1,7,22366.822082
0,7,22368.596117
0,7,22370.726082
1,7,22372.689117
1,8,22375.130118
0,7,22377.919079
1,7,22379.64308
1,7,22381.539079
1,7,22383.400079
0,7,22385.280082
0,7,22386.973116
0,8,22389.496114
1,7,22392.087079
0,8,22394.464082
1,7,22396.824116
0,7,22399.039082
1,7,22401.393116
0,7,22403.531079
1,7,22405.942079
